Temperature             Resistance
(Kelvin)                (Ohms)

8.45578150000000E-02   5.97870000000000E+04
9.65267430000000E-02   3.70558000000000E+04
1.13225963000000E-01   2.21474000000000E+04
1.29847411000000E-01   1.50736000000000E+04
1.48577883000000E-01   1.06219000000000E+04
1.65172429000000E-01   8.22660000000000E+03
1.83905694000000E-01   6.44090000000000E+03
2.05093644000000E-01   5.11268000000000E+03
2.30177088000000E-01   4.07896000000000E+03
2.59344435000000E-01   3.27877000000000E+03
2.90162417000000E-01   2.71093000000000E+03
3.08560676000000E-01   2.46599000000000E+03
3.28513037000000E-01   2.23844000000000E+03
3.66705403000000E-01   1.90339000000000E+03
4.16979387000000E-01   1.59257000000000E+03
4.75654366000000E-01   1.34251000000000E+03
5.35952385000000E-01   1.16126000000000E+03
6.09923904000000E-01   1.00075000000000E+03
6.86833747000000E-01   8.81120000000000E+02
7.66178922000000E-01   7.88170000000000E+02
8.55700220000000E-01   7.08590000000000E+02
9.50386550000000E-01   6.43110000000000E+02
1.05278769028160E+00   5.85963729136834E+02
1.14818354866042E+00   5.44880000000000E+02
1.20180837116771E+00   5.24369284413703E+02
1.30415052055398E+00   4.91431014400721E+02
1.40106912285217E+00   4.64790237843810E+02
1.60025316766309E+00   4.20776877460753E+02
1.80214390989076E+00   3.86800063996042E+02
2.00062434645993E+00   3.60343010439695E+02
2.20002696457434E+00   3.38680912627198E+02
2.39928658892858E+00   3.20605317857536E+02
2.59969152900304E+00   3.05172866464912E+02
2.80149529009539E+00   2.91815121862394E+02
3.00034175061954E+00   2.80381495511948E+02
3.19942757163665E+00   2.70303736345955E+02
3.39991701657511E+00   2.61305293579366E+02
3.59736380715416E+00   2.53374341198639E+02
3.80003598980696E+00   2.46026534550342E+02
4.00251102532020E+00   2.39381314852815E+02
4.20902796871153E+00   2.33187273016845E+02
4.53212030500649E+00   2.24589421191642E+02
4.94279457638355E+00   2.15083507557485E+02
5.45619260645054E+00   2.04994450580726E+02
6.17846082989582E+00   1.93373776578292E+02
6.99770342682260E+00   1.82733378324361E+02
8.02425592785161E+00   1.71978454054043E+02
9.05165927703937E+00   1.63270899910338E+02
1.00803537690237E+01   1.56032322889830E+02
1.11083592827408E+01   1.49867729957917E+02
1.21263645176185E+01   1.44556678416250E+02
1.31375130075536E+01   1.39931442326149E+02
1.41403665900295E+01   1.35821623132962E+02
1.51387909152833E+01   1.32127671226271E+02
1.61247089305813E+01   1.28809228479486E+02
1.71089684612829E+01   1.25765339828030E+02
1.80898290327070E+01   1.22966536965120E+02
1.90728564330432E+01   1.20370986244745E+02
2.00529110313196E+01   1.17944419741384E+02
2.11338060223270E+01   1.15443108720508E+02
2.27132579098386E+01   1.12080218705815E+02
2.43126690729407E+01   1.08963571182680E+02
2.59313679159085E+01   1.06073370565552E+02
2.75436947700206E+01   1.03408038208903E+02
2.91685018762195E+01   1.00913431251351E+02
3.09785288489047E+01   9.83333643693773E+01
3.30930922798286E+01   9.55591807254057E+01
3.60915017547344E+01   9.19830577311087E+01
3.90888710238534E+01   8.87603748839254E+01
4.20906835588844E+01   8.58437593490780E+01
4.50840319949945E+01   8.31946944034388E+01
4.80790572057958E+01   8.07676632236531E+01
5.00782790437414E+01   7.92549548721140E+01
5.50723002434622E+01   7.58123468545033E+01
6.00686078737152E+01   7.27675522722168E+01
6.50583877244657E+01   7.00536283525098E+01
7.00517749795703E+01   6.76080317606906E+01
7.50444109338740E+01   6.53906644457515E+01
8.00404025428516E+01   6.33673620801585E+01
8.50429273447844E+01   6.15095047161501E+01
9.00414398630736E+01   5.97946597255633E+01
9.50405868823762E+01   5.82108552569865E+01
1.00036777980781E+02   5.67313699974167E+01
1.10030917043633E+02   5.40604770723232E+01
1.20025548211497E+02   5.17075771457219E+01
1.30032558903791E+02   4.96063055246495E+01
1.40031443655091E+02   4.77157716825211E+01
1.50030019490036E+02   4.60118124692662E+01
1.60026262134132E+02   4.44626944505602E+01
1.70019377011012E+02   4.30497122956529E+01
1.80013147914402E+02   4.17527337540722E+01
1.90018137797846E+02   4.05575185525488E+01
2.00023239974289E+02   3.94581708987176E+01
2.10022820138394E+02   3.84426286162488E+01
2.20014205999171E+02   3.74962613171676E+01
2.30021603411862E+02   3.66198927184052E+01
2.40026648658427E+02   3.58019989802429E+01
2.50013364709906E+02   3.50450016182142E+01
2.60025749720696E+02   3.43347653251516E+01
2.70022061630171E+02   3.36699322464037E+01
2.80027693144490E+02   3.30471262848715E+01
2.90019659547036E+02   3.24620836375094E+01
3.00032489352819E+02   3.19127096643262E+01
3.10011603278275E+02   3.13982216208729E+01
3.15021626539431E+02   3.11514433144647E+01
3.20029333585599E+02   3.09122564120924E+01
3.26027055537026E+02   3.06339646811715E+01
3.30042249124345E+02   3.04542145538198E+01
